front,back
avoir,![image](https://d9np3dj86nsu2.cloudfront.net/image/64199d1faf21c9bcfa74007a01183094)
être,![image](https://d9np3dj86nsu2.cloudfront.net/image/2682c7c27f332c9f94ec736740a933c3)
aller,![image](https://d9np3dj86nsu2.cloudfront.net/image/5995dcedef4b6e2201c5d87700aa6a51)
dire,![image](https://d9np3dj86nsu2.cloudfront.net/image/ff4d66b04c733cf3aa3cc3ebba6c46da)
faire,![image](https://d9np3dj86nsu2.cloudfront.net/image/531d2b6e2f5142dde08f4a74bba5769c)
pouvoir,![image](https://d9np3dj86nsu2.cloudfront.net/image/fa146e4a2da3c3383b9dc6d64c82415a)
savoir,![image](https://d9np3dj86nsu2.cloudfront.net/image/a8b9ecdcb8da3254d2a516b6e6b42e60)
vouloir,![image](https://d9np3dj86nsu2.cloudfront.net/image/c8a9732841433b93a4c12582fa589a8f)
devoir,![image](https://d9np3dj86nsu2.cloudfront.net/image/4834dbbd0ee0b989a9cdfeb2ba9fdf49)
falloir(must),"je,tu,il,nous,vous,ils + faut"
partir,![image](https://d9np3dj86nsu2.cloudfront.net/image/0e3283e3e25ef271fd13ca1191876bd7)
dormir,![image](https://d9np3dj86nsu2.cloudfront.net/image/2e7cc663d9c11363e998026fd7bdfaa5)
mentir,![image](https://d9np3dj86nsu2.cloudfront.net/image/8fbd70ccf4a49471cbe7da43fa20d536)
se sentir,![image](https://d9np3dj86nsu2.cloudfront.net/image/88a846e2c2e2fe7a4ff05ec885e16c91)
sortir,![image](https://d9np3dj86nsu2.cloudfront.net/image/7e6800e63552251da9808516cc7d57c8)
courir,![image](https://d9np3dj86nsu2.cloudfront.net/image/7480ec0dc3a6ce0de9afd2e1386c889c)
servir,![image](https://d9np3dj86nsu2.cloudfront.net/image/f418ec0ea00eab39cf3ef38cae6321a0)
ouvrir,![image](https://d9np3dj86nsu2.cloudfront.net/image/23ed3ba2dab7e7864661249648371b45)
couvrir,![image](https://d9np3dj86nsu2.cloudfront.net/image/7480ec0dc3a6ce0de9afd2e1386c889c)
souffrir,![image](https://d9np3dj86nsu2.cloudfront.net/image/f349b2a502195b84b08cbf2d346de8bb)
découvrir,![image](https://d9np3dj86nsu2.cloudfront.net/image/f143275daf7568c99fc755cc11f523bb)
offrir,![image](https://d9np3dj86nsu2.cloudfront.net/image/08681a4425c7ee459b4078144dc8bc80)
venir,![image](https://d9np3dj86nsu2.cloudfront.net/image/79fcde6ca4325156a93cabac01c9cf1d)
tenir,![image](https://d9np3dj86nsu2.cloudfront.net/image/c8369a957f2d1370cd8ae88fd9a99e6a)
obtenir,![image](https://d9np3dj86nsu2.cloudfront.net/image/d7918159c8b2a901113219eaacf74466)
maintenir=entretenir(maintain),![image](https://d9np3dj86nsu2.cloudfront.net/image/8fbd70ccf4a49471cbe7da43fa20d536)
soutenir(support),![image](https://d9np3dj86nsu2.cloudfront.net/image/b1462555f8992a1b29cb9806f7be19ee)
retenir(retain),![image](https://d9np3dj86nsu2.cloudfront.net/image/9872cfeeea517341e8641ebb4a391ca7)
survenir(occur),![image](https://d9np3dj86nsu2.cloudfront.net/image/c180951803fb806dfa81c21b90783cde)
subvenir(support),![image](https://d9np3dj86nsu2.cloudfront.net/image/545b6f339c8feb27694c7d354f74e316)
se souvenir,![image](https://d9np3dj86nsu2.cloudfront.net/image/fd462869bbf9d8e773b82a70d6938c3a)
"revenir(return,come back)",![image](https://d9np3dj86nsu2.cloudfront.net/image/677034e33be975c91d69bb87fd1d436e)
advenir(happen),"je,tu,il,nous,vous,ils + advient"
circonvenir(dánh l?a),![image](https://d9np3dj86nsu2.cloudfront.net/image/1897393176594782ca01b4439d6a7554)
contenir(contain). Ex : Kien qui contient un litre),![image](https://d9np3dj86nsu2.cloudfront.net/image/f99981633a1277ab18ca08d93397f79d)
appartenir(belong to). Cette maison appartient à un industriel.,![image](https://d9np3dj86nsu2.cloudfront.net/image/3a290b2c497ff886797b6fcb8445fb61)
"détenir(detain,keep). Ce chercheur détient le secret.",![image](https://d9np3dj86nsu2.cloudfront.net/image/3e27b48be21703f03517b26d01f75f2f)
contrevenir. Ils ont contrevenu aux règlement de la circulation.,"violet, break the rule"
convenir. Le tapis convenainent parfaitement à la pièce),suit(be appropriate for something). The carpets were perfect for the room)
discovenir. Je ne discoviens pas que vous avez raison,disagree. I do not disagree that you are right
parvenir. Il est parvenu au sommet de la montagne,reach. He reached the top of the mountain
prévenir. Il faut prévenir maman que nous rentrerons plus tard.,warn(c?nh báo)
provenir = venir de. Cette lettre provient de sa mère),"come from, arise from"
prévoir(plan),![image](https://d9np3dj86nsu2.cloudfront.net/image/123decc2562afc42abc3e1bd314b9fc2)
