front,back
aller,![image](https://d9np3dj86nsu2.cloudfront.net/image/adbfaeb390e3395a4362108c8b1b9b72)
appeler,![image](https://d9np3dj86nsu2.cloudfront.net/image/47b9ac811c73ce4dff2f4c2384a3a08c)
avoir,![image](https://d9np3dj86nsu2.cloudfront.net/image/9919f2cbf295a9ea691b25e45440378e)
devenir,![image](https://d9np3dj86nsu2.cloudfront.net/image/006cc8f54da0461a5f6bab3036a6a047)
devoir,![image](https://d9np3dj86nsu2.cloudfront.net/image/ea24219ea563eeea3fc5069c92df9561)
envoyer,![image](https://d9np3dj86nsu2.cloudfront.net/image/5bcb6f63ccd5b29e5cb5a20d37653c71)
être,![image](https://d9np3dj86nsu2.cloudfront.net/image/a71f23a306ea7e7989169485d5adc234)
faire,![image](https://d9np3dj86nsu2.cloudfront.net/image/cda1f822eabd95c170675d58cadfe83c)
lever,![image](https://d9np3dj86nsu2.cloudfront.net/image/f6deee9c38a4718c06cb5672d56401ba)
obtenir,![image](https://d9np3dj86nsu2.cloudfront.net/image/1e6affa72d35f494af8213c1747da557)
payer,![image](https://d9np3dj86nsu2.cloudfront.net/image/34858b4cf4c8a98ca0e826861d6bc4a8)
pouvoir,![image](https://d9np3dj86nsu2.cloudfront.net/image/ccea7e7967626b0e2626fb0eb6889b06)
recevoir,![image](https://d9np3dj86nsu2.cloudfront.net/image/37451ae3593a89ccfd033fd4bbfcb439)
savoir,![image](https://d9np3dj86nsu2.cloudfront.net/image/f17bf38c5c2329c21148d4c5656bff55)
voir,![image](https://d9np3dj86nsu2.cloudfront.net/image/476365d864dc8f8c5659cbb8fdad45c4)
vouloir,![image](https://d9np3dj86nsu2.cloudfront.net/image/7b67e7a155d477af03417a09e52e355f)
venir(come),![image](https://d9np3dj86nsu2.cloudfront.net/image/37ff9008d2222a01056833d87b338ab0)
mourir(die),![image](https://d9np3dj86nsu2.cloudfront.net/image/0cd9411c854f2157cac76cbde6509cf4)
accueillir(meet),![image](https://d9np3dj86nsu2.cloudfront.net/image/d31fe31a1067a9e98980bc683e0e06ed)
tenir(hold),![image](https://d9np3dj86nsu2.cloudfront.net/image/947346b1d791b84432e069ffdc71a30f)
courir(run),![image](https://d9np3dj86nsu2.cloudfront.net/image/e5ecef027179b6c484df78138015381f)
valoir(cost),![image](https://d9np3dj86nsu2.cloudfront.net/image/4af522b5191d0f5bb1e48cb25a4990e4)
falloir(need to),il faudra
pleuvoir,il pleuvra
s’asseoir(sit),![image](https://d9np3dj86nsu2.cloudfront.net/image/7dfe9970669ac5fd172acc2ceff25296)
prendre,![image](https://d9np3dj86nsu2.cloudfront.net/image/06e3a1f473fc719d09853942ee9a6b70)
écrire,![image](https://d9np3dj86nsu2.cloudfront.net/image/3dd67495ca9fa7b437df09e6c2c37a08)
attendre,![image](https://d9np3dj86nsu2.cloudfront.net/image/076b8995d0f45d520f7976690d712df8)
vendre,![image](https://d9np3dj86nsu2.cloudfront.net/image/28aeb8baf6ec32aff88bdb12cb2f36f8)
