front,back
car,because
y,there
donc,so
ici,here
la`,there
ceux-la`. ceux-la` sont au chocolat au lait,those. those are milk chocolate
ceux-ci,"these, these one"
"même. Je ferai du jogging, même s'il fait froid.",even if
cependant,however
à la suite. à la suite d'une réaction des élus,following. following a reaction from elected officials.
sans. sans mise en cause à l'IEN,without. without implication at the IEN
sauf if. sauf if le délit est flagrant et reconnu,unless. unless the offense is flagrant and recognized
en dehors. en dehors des horaires d'ouverture,outside. outside opening hours
"lors. lors de la sortie des classes,","when. when leaving classes, ...."
dont. L’ami dont je me souviens. La ville dont elle vient .,"De qui, de quoi, d'où. The friend I remember. The city where she comes."
l'aristocratie,the aristocracy(t?ng l?p quý t?c)
"il est un homme nerveux, “alors que” Nicole est très calm.",while
"également. Je le lui ai dit, mais je tiens à vous le dire également.","also. I told him, but I want to tell you also"
"d'autant que. d'autant que, comme la femme de dessous est tombée amoureuse de celui du dessus.","especially since.Especially since, as the woman below fell in love with the one above."
