front,back
vous pouvez jouer autant de BANG ! que vous voulez,you can play as many BANG! that you want
tous les autres joueurs défaussent 1 BANG ! ou perdent 1 point de vie,all other players discard 1 BANG! or lose 1 life
Défaussez la prison et jouer normalement.,Discard the prison and play normally.
"Sinon, défausesez la prison et passez votre tour","If not, defeat the prison and pass your turn"
"le joueur cible se défausse d'un BANG! puis c'est à vous,etc. Le premier qui ne le fait pas perd 1 point de vie.","the target player discards a BANG! then it's up to you,etc. Le premier qui ne le fait pas perd 1 point de vie."
"perdez 3 points de vie, sinon passez la dynamite à votre gauche","lose 3 life, otherwise pass the dynamite to your left"
convoi,convoy(h? t?ng)
rater,miss
soyez le dernier en jeu,be the last in game
deputy sheriff,deputy sheriff(phó c?nh sát tru?ng)
sheriff,sheriff(c?nh sát tru?ng)
protégez le Shérif,protect the Sheriff
Tuez tous les Hors-la-loi et le Renégat,Kill all Horls-la-loi et Renégat
tous les autres le voient à un distance augmentée de 1,all others see it at a distance increased by 1
peut défausser 2 cartes pour regagner 1 point de vie,can discard 2 cards to regain 1 life
