front,back
qu'est-ce qui vous est arrivé ? = qu'est-ce qui s'est passé ? = comment vous avez fait ça ?,What has happened to you ?
comment vous avez fait ça ?,how did you do that?
qu'est-ce que c'est ?,What is this?
À quelle station est-ce que je dois descendre ?,Which station do I have to get off ?(dùng trong vi?c h?i du?ng)
C'est direct ?,it's direct ?'(dùng tron h?i du?ng)
qu'est ce que je dois faire ?,what I have to do ?
Je peux vous aider / renseigner ?,Can I help you ?
vous faites quelle taille?,How tall are you?
Quelle est votre taille ?,what is your size?
Quelle est votre pointure? = Vous chaussez du combien? Je fais du 40/Je chausse du 40,What's your shoe size?
ce sera tout ?,that's all ?
Pouvez-vous me conseiller/m'aider?,Can you advice / help me ?
Je peux essayer ?(pour un vêtement/des chaussures),I can try ?
lequel/laquelle/lesquel(le)s vous voulez/de´sirez/souhaitez ?,which one do you want?
Et avec ici ?,and with there ?
"vous voulez / desirez autre chose ? => Non,ce sera tout","you want something else ? => No,that's all"
je voudrais celui-ci / celle la`,I would like this one
Je vais prendre,I will take it
Je vais réfléchir,I will think about it
donnes moi tes nouvelles!,give me your news!
sa va être choutee !,It's going to be fun !
je dois te laisser,I have to leave you = I have to go
amuse-toi bien là-bas!,Have fun there!
profiter bien de tes vacances!,enjoy your holidays!
tu as de la chance!,you are lucky!
comment s'appelle la soeur de Michel ?,what is Michel's sister's name?
Quel est (le but) de votre voyage?,What is (the purpose) of your trip?
nous vous (recommandons) de passer par cette rue,we (recommend) you go through this street
a` tout de suit,see you soon
ce n'est pas grave,it does not matter
l'addition s'il vous plaît,"Bill, please"
c'est pour offrir,It's to offer
C'est pour (faire une promenade),It's for a walk
je peux goûter ?,I can taste ?
bonne promenade !,good walk !(chu´c 1 chuyê´n di da?o vui ve?)
dites moi,tell me
pas tout de suite,not immediately
il n'y a pas de problème,there is no problem
lesquels vous voulez ?,which ones do you want?
quel est l'e´nonce´ correct ?,what is the correct statement?
"est ce que vous avez des antivols ? Oui, en voila` deux","Do you have locks? Yes, here are two"
est ce que je peux vous poser quelques questions ?,can I ask you some questions?
je vous en prie,you are welcome
sa me convient,it suits me(No´ ho?p ly´ vo´i tôi)
"oui, en effet","yes, indeed"
saluer,say hi
aidez-moi svp?,please help me
regaler .je vais me régaler !,thi?t dãi.Tôi s? t?n hu?ng nó!
peut être.,may be.
C'est inacceptable = C'est exaspérant = C'est désagréable,It's inacceptable.
Alors je fais très attention,So I'm very careful.
ce sera tout.,That's all.
"sept jours sur sept. La machine livre une pizza toute chaude, sept jours sur sept",(ph?c v?)su?t 7 nga? trong tu?n
à quoi ça sert? = ça sert à quoi?,What is it used for?
Ce' n'est pas juste !,It's not fair !
Je n'ai pas fait ça !,I didn't do it !
je n'ai rien fait !,I did not do anything !
"Mais non ! Absolument pas ! Non, pas du tout !",But no ! Absolutely not ! Not at all !
ce n'est pas moi !,It's not me !
ce n'est pas vrai !,it's not true !
j'espère que tu vas bien,I hope you're okay
je vous en prie,you are welcome
je n'ai pas de sous,I have no money
je n'y tient pas,I don't care
alors là-dessus ...,an so on ..
toujours est-il que. toujours est-il que celui du dessous l'a su !,the fact is that. the fact is that the one below knew it!
soi-disant. soi-disant parce au'il avait trop chaud en dessous,supposedly.supposedly because it was too hot underneath
bref. bref ! celui du dessous leur est tombé dessus,In short. In short ! the one below fall into the one above.
c'est celui du dessous qui a eu le dessus,it's the one below that got the upper (ngu?i ? du?i chi?m uu th? hon)
ça me dérange,It's disturb me/that bothers me
ça m'ennuie,it makes me boring
ça me gêne,it makes me feel uncomfortable
ça me fait mal,it makes me hurt
ça me fait plaisir,it makes me happy
ça m'énerve,it pisses me off
ça me fait peur,It scares me
ça marche,it works
ça ne se peut pas,it's impossible
ça fait longtemps,that was a long time ago
ça sert à rien,it's useless
ça dépend,it depends
comment ça va ?comme si comme ça,how are you? so so
ça fait du bien,it's good
