front,back
le bistrot,quán ru?u
le croissant,the croissant
le monument,monument(công trình k? ni?m)
pâtisserie,bánh ng?t
le dance,dance
"il est veuf, elle est veuve","goá v?, ch?ng"
the world,le monde
la gastronomie,gastronomy(?m th?c)
L'entrée,món khai v?
La boisson,d? u?ng
Le plat principal,món chính
le fromage,cheese
Le dessert,món tráng mi?ng
"""reconnaître des"" mots en francais",Recoginize words in French
"""saluer"" et se présenter en Francais","""greet"" and present yourself in French"
"""apprendre"" à ""épeler""","""learn"" to ""spell"""
faire les courses,go shopping
je ne comprends pas,I don't understand
Je parle à qqn,I speak to someone
Je parle de qqn,I speak about someone
%,pour cent
angers « se trouve » au Nord-0uest,dc tìm th?y ? ...
"aujourd’hui, c’est mercredi",today
demain,tomorrow
hier,yesterday
premier/première (jeudi 1 er),first
la semaine prochaine,next week
la semaine dernière(dernier),last week
on = nous,dùng trong van nói
quartier,"quater, area"
"oui , plusieurs",several
mieux (adv),better
interrogez-vous,ask yourself
se promener = se balader,![image](https://d9np3dj86nsu2.cloudfront.net/image/02aa01dbe66c1b3919d01a7b2effc7f2)
piétonnes,pedestrian
en face de + moi,in front of
à côté de + moi,near
derrière + moi,back
sur,on
sous,under
le sommet,top
Join “partage” ses photos du Québec sur Internet.,share
Belle surprise sous le dôme.,dome(mái vòm)
“près de” Montréal,near
à vendredi,see you in Friday
le centre historique sont accessible “à pied”,by walk
c’est le quartier “chic” de Bruxelles,élegant(sang tr?ng)
la gare est « loin du » centre ville,far from
église,church
un trottinette,xe 2 bánh tru?t mà ngu?i Pháp hay di
la navette maritime,du thuy?n(30 ngu?i max)
