front,back
Sur ta gauche!,on your left
intérieur,inside
Je tourne à droite,I am turning right
Ces positions n'existent pas,Those positions n'existent pas
entrée,hall
La Terre tourne,The earth turns
Nous tournons notre chaise vers la fenêtre,We turn our chair toward the window
Elle est au centre du village,It is in the center of the village
"Il y a un panneau rouge avec un ""croix"" blanch","There is a red sign with a white ""cross"""
"Elle ""fait un pas dans"" le jardin",She steps into the garden
"Les femmes passent ""l'arrivée"" en voiture","The women cross ""the finish line"" by car"
"""L'extérieur"" de ce bol est sale",The outside of that bowl is dirty
La sortie est ici,The exit is here
"je regarde ""en direction du"" jeune roi","I look ""toward"" the young king"
L'arrivée est à Paris,The arrival is in Paris
"Ce n'est pas une ""si"" grande distance",It is not such a big distance
Je suis perdu,I'm lost
"longez-la et, au feu, tournez a` gauche","walk along it and at the traffic lights, turn left"
prenez la premie`re rue a` droite,take the first street on the right
Il y a un pont 200 me`tres plus loin,There is a bridge 200 meters away
traversez-le !,cross it !
après,next to
tracez l'itinéraire,trace the route
continuez/allez + tout droit/en direction de ../a` gauche/a` droite,continue / go + straight ahead / towards ../ left / right
tournez + a` gauche/a` droite,turn left/right
prenez + la premie`re rue/sur la droite/a` gauche,take + the first street / on the right / left
traversez le pont,cross the bridge
longez la station-service/le parc,walk along the gas station/the park
carrefour,crossroads
feu (n),fire (n)
jusque(prepo),until
loin (adv),far
te´le´phonez a` la standardiste,call the operator
indiquez bien l'endroit o`u vous êtes,indicate the place where you are
longez d'abord. Longez d'abordl e parking.,wark along. walk along the parking.
Allez tout droit jusqu'au. Allez tout droit jusqu'au feu rouge,Go straight until. go straight until the red light.
tout-terrain. Elle a acheté un vélo tout-terrain.,all terrain(t?t c? các d?a hình)
vélo de cours,race bike
un antivol,a lock
entre. Le cinéma est entre la gare et le théâtre,between
sur la place du marché. La pharmacie est sur la place du marché,on the market place
être au bout de. La bibliothèque au bout de l'avenue Foch.,at the end of
être en face de = devant,in front of
être à droit. La poste est à droite de l'hôpital,on the right
être dans le. La gare est dans l'avenue Foch.,to be in the. The station is in avenue Foch.
être à côte de. L'hopital est à côte de la place.,be next to sthing
passer à. Passer à la pharmacie,go to the pharmacie.
rendre. rendre un livre à la bibliothique.,return
"""au coin du"" boulevard des mare´chaux",at the corner of
traversez la rivière,cross the river
"L'office de tourisme est ""un peu plus loin à droite""",a little bit further to the right
face à la mer,in front of the sea
derrière,behind
en face de vous,in front of you
au coin de la rue,at the street corner
près de. Près de chez vous,near. Near your house
sur. Vous allez régulièrement sur Internet ?,on. You regularly go on the Internet?
loin. loin de la ville,far. far from the city
tourner avant. on tourne avant la rivière.,turn before
prenez la deuxième à gauche,take the second left
entrer. vous entrez dans la village.,come in
l'autoroute,Highway
sous. sous la table,under. under the table
il est au-dessus de tout,above. He is above everything.
au-dessous. Il est au-dessous de tout.,below. He is below everything
