front,back
être,![image](https://d9np3dj86nsu2.cloudfront.net/image/d1cf2f7934113c51451c00b82021a75c)
aller(I am going to),![image](https://d9np3dj86nsu2.cloudfront.net/image/2ed0a77aa9e8146f670456716226e7d6)
avoir,![image](https://d9np3dj86nsu2.cloudfront.net/image/01ac41aa13f485e87e922615e20d837e)
pouvoir,![image](https://d9np3dj86nsu2.cloudfront.net/image/762a739227908be5b710b79a18eed55e)
faire,![image](https://d9np3dj86nsu2.cloudfront.net/image/ccc33defba2d8c52b4f286ccfaf0888c)
"devoir(must, have to)",![image](https://d9np3dj86nsu2.cloudfront.net/image/340296c3b78dc73881030c1c5d0aa60f)
vouloir(want),![image](https://d9np3dj86nsu2.cloudfront.net/image/63db5d251f0910c8e6a43aae27df76bf)
"souhaiter,désirer",wish
besoin,need
espérer,![image](https://d9np3dj86nsu2.cloudfront.net/image/116c3c6e0e38bf5c02186f4f9359181c)
savoir(to know how to),![image](https://d9np3dj86nsu2.cloudfront.net/image/dd5c55d2a73990d281831df1e66e4c23)
il se peut que + m?nh d?. ex : Il se peut que je parte tot.,it is possible that ...
falloir(must),"je,tu,il,nous, vous, ils + faut"
