front,back
livre de l'élève,student's book
l'addition s'il vous plaît,the bill please
baguette,bánh m?(Pháp)
le plan de la ville,the city's map
gagner. On gagne de 5 à 10000 euros,win
gratter. On peut gratter cinq numéros,scratch(cào).We can scratch five numbers
fétiche. Quel est ton numéro de fétiche ?,"thích, tôn sùng"
un coeur,a heart
génial(adj),"awesome, great"
tu es sûr ?,are you sure?
jour de change,exchange day
rien  !,nothing!
ça ne correspond pas,it doesn't match
Allez!,go ahead!(khi mu?n ngu?i khác ti?p t?c làm gì)
"alors,","so,"
épeler. Vous pouvez épeler s'il vous plait ?,spell. Can you spell in please?
ça š'écrit comment ?,How is it written?
vous réserver à quel nom ?,which name do you reserve? (câu h?i khi vào khách s?n)
enchanté !,Nice to meet you
vous allez bien ?,Are you fine ?
passe le bonjour à ton père,(help me)say hi to your father.
à plus tard !,see you later !
égal. Dix plus deux égal douze.,equal
fois. Deux fois deux égal quatre.,multiply
la plage,the beach
plusieurs.Il y a même plusieurs plages,several. There are even several beaches
le palais de justice,courthouse(tòa án)
chic. C'est bien chic comme endroit,"chic, elegant(sang tr?ng). Ðó là 1 noi r?t sang tr?ng"
endroit. Un bel endroit,place. A beautiful place
quartier. Un quartier agréable et vivant,district. A pleasant and lively district
C'est dommage,It's a pity!
fortifiee. Cité médiévale fortifiee,fortified(kiên c?). Thành ph? trung c? th?i kiên c?
sort,fate
flore,flora(h? th?c v?t)
silencieux(adj),silent(adj)
florist,florist(ngu?i bán hoa)
fleuve,river
le vieux-centre,the old centre
palais,palace(cung di?n)
bateaux,boat
une fontaine,a fountain(dài phun nu?c)
à pied. Tu vas au travail à pied?,by walking
interroger(vebre). nous sommes allés interroger des personnes à la sortie de leurs ateliers .,"interview, question(vebre). we went to interview people at the end of their workshops."
l'atelier,the workshop
les cours de chant,singing lessons
sentir. Je me sens bien quand je chante.,"sense, feel"
partager. Je veux partager ma bonne humeur et me relaxer,share. I want to share my good humor and relax
les disciplines orientales,oriental disciplines(k? lu?t phuong dông)
Je préfère les balades.,I prefer walks
le bricolage. Tu aimes le bricolage?,DIY(do-it-yourself)
le jardinage. Je pr éfère le jardinage,gardening
dessin(noun). C'est mon premier atelier de dessin.,drawing
actif. C'est un grand actif,assets(tài s?n)
timide. Nos enfants sont très timides.,"timid, shy"
enquête = sondage. C'est pour un enquête.,survey
très chargées. Mes journées sont très chargées,very busy. My days are very busy
détendre. C'est un activité qui me détends,"loosen, relax. It's an activity that relaxes me"
un ciné,a movie theater
s'énerve. il m'énerver justement parce qu'il s'énerve tout le temps,làm b?c mình. He gets on my nerves because he gets angry all the time
inséparable(adj),inseparable
la fusée lunaire,the moon rocket
l'inventeur,the inventor
rappeler. Tu te rappelles?,remember. Do you remember?
ne sert à rien. il ne sert à rien,useless. It's useless
réveillé. Tu es déjà réveillé,awake. You are already awake
"ç'est l'habitude. ç'est l'habitude : en semaine, je me lève toujours à sept heures.",normally
stressés. ils sont stressés,stressed. they are stressed
casanier. Il est casanier,homebody(ngu?i nhà). Anh ?y là ngu?i nhà
coach sportif,sports coach(hu?n luy?n viên th? thao)
asseyez-vous !,sit down !
le conseiller,the advisor
surtout. j'aime surtout former des nouveaux collegues,especially. I especially like to train new colleagues
déplacement professionel,business trip
la lettre de remerciement,thu c?m on
Ç'est vrais qu'on a bien aidé,It’s true that we helped a lot
le bénévoles,the volunteers
le copine de fac,the college friend(b?n d?i h?c)
Je construis,I build
ils ont eu leur diplôme,they graduated
ennuyeux. un écrivain ennuyeux,boring. a boring writer
inscrit,register
biscuits,cookies(bánh)
siècle,century
le goûter,the afternoon tea
aux quatre coins du monde. il est vendu aux quatre coins du monde,all over the world. it is sold all over the world
il fait quel temps ?,how is the weather ?
le maillot de bain,the swimsuit
perdre de temps. Vous ne voulez plus perdre de temps au supermarché?,waste time
besoin dea repos,need some rests
le séjour. Découvrez nos séjours sur mesure et partez tranquille,the stay
achat. Je ne peux pas m'occuper des achats.,purchasing. I can't take care of purchases.
maman. l'anniversaire de maman,mom. mom's birthday
"d'abord,","Firstly,"
bouquet de fleurs,bó hoa
ç'est meilleur,it's better
le foulard =  écharpe,the scarf
la tenue,the outfit
le moules,con mun(g?n gi?ng h?n)
la omelette,tr?ng ?p la
inquiter. Ne t'inquiète pas,worry. Don't worry
une sucrée en dessert,a sweet desert
les lentilles,The lentil is an edible legume of France
chantilly,kem dánh
quelle cuisson pour la viande? = Comme cuission?,how to cook meat?(ý mu?n h?i là an tái hay chín ..)
une entrecôte,bít t?t su?n
les quenelles,bánh bao
les cuisses de grenouilles,chân ?ch
De l'eau plate ou gazeuse ?,nu?c l?c hay nu?c có ga?
île. ça ressemble à une île,island.it looks like an island
la framboise,qu? mâm xôi
l'amande,qu? h?nh nhân
la plat du jour,Món an(d?c bi?t) trong ngày
"bien cuit, à point, saignant","well cooked, medium, rare"
comme garniture ?,"ý h?i mu?n trang trí, ph? thêm món an b?ng gì(com hay khoai tây)"
tout de suite,immediately
un sachet de sucre vanillé,a packet of vanilla sugar
la glace à la fraise,strawberry ice cream
le féculent,th?c an ch?a tinh b?t
le vent,the wind
sain,healthy
lent,slow
rond,round
grain,grain(g?o)
Il est appétissant,It is appetizing(nó th?t ngon mi?ng)
le cassoulet,Cassoulet is name of a dish in France
Une salade d'endives,1 lo?i salad
la mousse au chocolat,1 món an dc làm t? socola
le fois gras,gan ng?ng béo
amateurs de sthing. Ex: amateurs d'arts,ngu?i yêu thích cái gì dó. Ex : Art's lover
nouvelles tendances,new trends
l'art contemporain,contemporary art(ngh? thu?t duong d?i)
l'embarquement pour le vol A552,boarding for the flight A552
le carte d'embarquement,vé/th? lên máy bay
il faut quelque chose ?,Do you need something?
tu as l'air fatigué,you look tired
mets-toi devant la cathédrale,stand in front of the cathedral
je laisse la parole à qu'une,nhu?ng sân kh?u/bài phát bi?u cho ai dó
en effet,indeed
à la mode. le prénoms classiques sont à la mode,fashionable. classic names are fashionable
"tout à fait,",absolutely
le palmarès,danh sách gi?i thu?ng
en tête du classement . Quels sont les prénoms en tête du classement ?,at the top of the ranking. What are the first names at the top of the ranking?
diviser. douze divisé par deux,divide. twelve divided by two
consacrer. les concours est consacrées aux mots d'origine étrangères en fransais.,devote. the contests are devoted to words of foreign origin in French
dans les deux sens. Mais les mots voyagent dans les deux sens,in two ways. But words go back and forth
aigu(agj). Le E est avec un accent aigu.,sharp. The E is with a sharp accent.
chanson. La chanson francaise,song
Les auteurs,The authors
la émission. Bienvenue dans notre émission,program
célèbre. Une actrice célèbre .,"popular, renowned."
