front,back
RETIRER la télétransmission,"remove, withdraw"
communiquer mon numéro de sécurité sociable DÉFINITIF,to communicate my FINAL social security number
Dossiel actuel ,current file
Sous dossier ,subfolder
Boite aux lettres ,mailbox
Déménager,move
Prestation,benefit
Relever,statement
droit ,right
paiement ,payment
étudier(Nous avons donc étudié vos droits),"examine,study"
changer,change
apparaitre(Il apparait après calcul que pour L'AIDE) ,appear
calculer,calculate
devoir(Vous nous devez 255 euros),owe
vouloir ,send
remercier(vous nous remercions de vien vouloir nous addresser cette somme),thank(we would like to thank you for sending us this sum)
régelement,payment
reppeler ,remember
allocataire,beneficiary
créance,credit
référence,reference
paiment récurent,recurring payment(thanh toán d?nh k?)
paiement ponctuel ,one-time payment
référence,reference(l?i d?n)
références(s? nhi?u),gi?y t? ch?ng nh?n
donner,give
issue,conclusion
oublier(N'oubliez pas d'indiquer vos références de paiement qui vous sera donné à l'issue de votre choix),forget
choix,choice
frais(n),cost
coûter(v),cost
scolarité(n),schooling
contrat,contract
mandat,mandate(s? ?y nhi?m)
formulaire,form
signer,sign
signant,signing
autoriser,allow
envoyer,send to
débit,debit(v)(ghi n?)
compte,account
EFFECTUEZ votre régelement en ligne avant le deuxième cours,MAKE your payment online before the second class
convocation,convocation(s? tri?u t?p)
cliquez sur,click on
création ou association d'un compte CMA à un compte parisien,creation or association of a CMA account to a Paris account
calendrier des inscriptions,registration calendar
outils d'orientation,orientation tools
artisanat,craft(ngh? th? công)
métier,profession
aménagements,facilities
bénéficier,benefit
rembourser,refund
convention,agreement
loyer,rent
lieux,"room, places"
"comprendre. Ex : ce montant comprends les charges récupérables Ecole de hauteur de 60,95 e",include
récupérable,recoverable
bloquer,block
occasion,occasion/opportunity
enregistré. Ex : votre numéro de téléphone enregistré,"registered, recorede"
recevoir,receive
saisir. Veullez saisir ce code à 6 caractères,enter. Please enter this code at 6 characters
accéder,access
nouveautés. Ex : Les dernières,news. The lastest news
il vous reste 23 jours pour le modifier,you have 23 days left to edit it
personnaliser le libellé du compte,customize the account label
devise(noun),currency(ti?n t?)
motif,motivation
annuler. Vous pouvez annuler cet ordre jusqu'au 28/9/2017,cancel.You can cancel this order until 28/9/2017
ordre(noun),order
consultable = disponible. Ex : l'execution sera consultable dans le Suivi des orders,Available. The excution will be available in Order Tracking
date de livraison,delivery date
colis numéro,s? buu ki?n
remercier. Ex : Nous vous remercion de votre confiance.,thank. We thank you for your trust
arrêter,stop
verrouiller,lock
Fermer la session,log out
redémarrer,restart
mettre en veille,sleep(on laptop)
mettre en veille prolongée,hibernate(trên lap top)
Nationnalité actualle,current nationality
domicile actuel,current address
la date d'emménagement,the date of moving in
domicile antérieur,previous address
annonce,"announcement,advertisement"
publier,publish
emplois recommandés,recommended job
recommandation,recommendation
APL( aide personnalisée au logement),APL (personalized housing assistance)
éligible,eligible(d? di?u ki?n)
loger. Ex : je loge chez lui,"live, stay. Ex : I stay at his house"
A partir de quelle date avez vous besoin de vous loger?,From which date do you need to stay?
Expéditeur,Sender(when talk about someone who send letter or email)
débiter,debit(ghi n?)
cadre,framework
compléter,complete
obligatoire(adj),obligatory
rencontrer,meet
salon,"show, sitting room"
mobilité,mobility
investir,invest
apprécier,appreciate
échangeur,exchange
revenir,come back
correspondre,correspond
créneaux. Ex : Je peux vous proposer les créneaux suivant,slot. Ex : I can propose you the following slots
l'entretien,the interview
postuler,apply
profil,profile
nos locaux,our offices
traitement,treatment
suivre(v). Ex : comment suivre le traitement de mon dossier,follow. Ex : How to follow the treatment of my file?
dossier,file
remplir(v),"fill, fulfill"
nécessaire,necessary
procéder,process
"l'ouverture. Ex : Si vous remplissez les conditions nessesceessaire, elle procède à l'ouverture de votre droit.",the opening.
octroi,granting
varier(v),vary
précis(adj),precise
juste(adj). Ex : Je donne lieu à un paiement précis et juste,"fair, true"
inutile,unnecessary
déplacer,"deplace, move"
manquante. Ex : Un pièce manquante,missing. Ex : a missing piece
contacter,contact
le fait de se rendre coupable de fraude,being guilty of fraud
tenter de faire,try to do
emprisonnement,imprisonment(tong giam)
salarié d'une entreprise innovante,employee of an innovative company
La délégation,Delegation(phái doàn)
appréhender,comprehend
l'espirit,the spirit
un événement,an event
à temps. sortiez-vous à temps,On time
la prestataire,recipient
nous demeurons à votre entière disposition pour tout renseignement complementaire et nous vous prions d'agréer.,we remain at your entire disposal for any further information and please accept.
"Monsieur, nos salutations distinguées.","Sir, our best regards."
retrouvez. Retrouvez cet avis sur impots.gouv.fr,"Find, recover, track down"
avis d'impôt,tax notice
"démarches.Pour vos démarche, pas besoin d'original","approach. For your approach, no need for original"
"fournir. Il suffit de fournir une photocopie, vérifiable sur impots.gouv.fr",provide
imposable.vous êtes non imposable à l'impôt sur le revenu.,taxable. you are not taxable on income tax
numéro fiscal,tax number
prélèvement à la source,"withholding tax(thu? kh?u tr? t?i ngu?n, co quan thu? s? tr? th?ng ti?n vào luong)"
déposer vos réclamations,file your complaints(g?i khi?u n?i c?a b?n)
grâce à. Ex : Poser vos questions grâce à votre messagerie sécurisée,"thanks to, due to. Ask your questions using your secure messaging"
Votre déclaration de revenus,t? khai thu? c?a b?n
Vos avis d'impôt sur le revenu,Your income tax notices
Vos avis d'impôts locaux,Your local tax notices
