front,back
parfois(Elle le voit parfois le jeudi) = quelquefois,sometimes
toujours,always
tôt,early
premièrement,firstly
récemment,recently
finalement,finally
environ. Ex : Le pont se situe à un kilomètre environ.,about
vite. Je comprends vite et bien.,quickly
régulièrement,regularly
ensuite. Je prends mon petit déjeu ner ensuite.,then. I take my breakfast then.
donc,so
immédiatement,immediately
mensuel,monthly
seulement,only
d'ailleur. Ex : nous epérons d'ailleur que vous avez assister à notre conférence.,by the way
lentement,slowly
De nos jours,Nowadays
Donc,therefore
alors que,"While, eventhough"
puis,then
assez,enough
trop,"too much, too"
cinquième,fifth
sauf,except
chaque,each/every
attentement,carefully
jamais,never
"en cas. Ex : En cas de pro blème dans votre dossier, comme un pièce manquante...","In case. Ex : If there is a problem in your file, such as a missing piece ..."
ensemble. Ex : Nous mageons ensemble,together
Je peux la faire,I can do it
Également(adv),"also, likewise"
"soit. Exprimez vos intentions, soit sous form de liste, soit en dialogue avec un ami.","whether, either. Express your intentions, either as a list or in dialogue with a friend."
suffisamment. Il a suffisament d'argent pour acheter une maison.,enough. He has enough money to buy a house.
vie. Trouver l'homme ou la femme de votre vie.,life. Find the man or woman in your life.
mal. tu vois mal,badly. You look badly
surtout,"mainly, mostly"
de temps en temps,"from time to time, occasionally"
d'abord,"first,"
enfin,finally
"au fait,","by the way,"
souvent,often
probablement,probably
comple`tement,completely
hebdomadaire,weekly
sûrement,surely
exactement,exactly
automatiquement. La pizza est prise automatiquement dans la chambre froide.,automatically. The pizza is taken automatically in the cold room.
fortuitement. Un accident forfuit,fortuitously(tình c?)
elle est “vraiment” merveilleuse,really
tellement. As-tu mal à la jambe? Pas tellement.,so much
il est “assez/plutôt” généreux.,quite/rather
