front,back
"Quand est-ce que tu e´criras ton premier ""roman""?",novel
"Paris attendra la fin de ""l'enquête"" avant de ""réagir""","investigation, reacting"
"Je t'ai attendu ""pendant"" une demi heure",for
"on va à ""la plage""","we are going to the ""beach"""
je resterai au soleil,tôi se~ ta´m na´ng
Il y a du brouillard,There is fog
"ses excellents plats a` un prix ""convenable""","his excellent dishes at a ""suitable"" price"
"Régine a grandi dans une ""famille de pêcheurs""","Régine grew up in a ""fishermen's family"""
emporter,carry
la chèvre,the goat
le moyen de transport,the mean of transport
un lac,a lake
usager,user
randonnée,hiking
refuge.,refuge(noi chu an)
haut. plus haut refuge gardé de France.,high. highest guarded refuge in France
gravit.On š'y arrêté lorsqu'on gravit le mont Blanc.,climb. We stopped when we climbed Mont Blanc.
massif(adj),massive
admirer. On peut admirer sa face nord,chiêm ngu?ng.B?n có th? chiêm ngu?ng m?t phía b?c c?a nó.
la vallée,the valley(thung lung)
nuitée. Ex : nuitée : 20.6 euros.,overnight
les fondeurs,the founders
l'alpinisme,mountaineering(leo núi)
l'escalade,climbing
une cirque,a circus(r?p xi?c)
un lacs,a lake
nombreux. Les lacs sont nombereux.,numerous
dortoirs,dorms(ký túc xá)
spacieuse,spacious(r?ng rãi)
la route montant,the uphill road(du?ng lên d?c)
piste(noun),track(audio)
