front,back
un peu ronde,a bit round
"Elle se trouve trop ""grosse""",Cô ?y th?y mình béo
grand(taille),tall
moyen(taille),medium
petit(taille),small
taille,height
poids,weight
grosse,big
mince,slim
vielle,old
jeune,young
grossir,"get fatter, enlarge"
"Christ mange beaucoup, elle ne ""maigrir"" pas",become thin
joli/beau/belle,pretty
laide,ugly
gros,big
perdre du pois = perdre des kilos = maigrir,lose weight
"Maintenant, Je dóifait un régime","now, i have to go on a diet"
Guilan ne resemble pas à son père,Guilan does not look like his father
elle reste mince,he remains thin
combien est-ce qu'il mesure?,how much does it measure?
Il mesure 1m78,it is 1m78
charmant . Il est charmant,charming
bronzé. Kevin est grande est bronzé,da rám n?ng
frisé. Kevin est blond est frisé,xoan
court.,short
serré. J'aime bien ce pull mais il est trop serré,tight
C'est la mode,It's the fashion
classique,classic
roux. Jim est roux,d?(màu tóc)
ringarde. Je suis ringarde,cheap and of low quality(dang nói v? cách an m?c)
démodée. Je suis ringarde et démodée,outdated
lourd. le sac est lourd,heavy
mûr. L'ananas est mûr,chín
Le riz est salé,dirty
marron. Des robes marrons,brown
grillé,grilled
