front,back
produits d'hygiène,s?n ph?m v? sinh
Le savons,soaps
la douche,the shower
la unsine,the factory
siège social,head office
Quelle est la taille de votre entreprise ?,What is the size of the company?
chiffre d'affaire,turnover(doanh thu)
lieu d'implantation de l'usine,the location of the factory
Fabrication,manufacture
Le catalogue,catalog(danh m?c)
responsable de la  qualité,quality manager
responsable des achats,purchasing manager
dirige. Kien qui dirige les ressources humaines,lead. Kien who directs human resources
un comptable,an accountant
directrice commerciale,the commercial director
directeur administratif et financer,administrative and financial director
situation géographique,geographic location
en panne. La photocopieuse est en panne.,out of order
taches. Il y a des taches bizarres.,spot
bizarres,"bizarre, weird"
"voyant, clignote. Le voyant rouge clignote.","light,flash"
drôle de bruit. Elle fait un drôle de bruit.,strange noise.
Coince. La papier est souvant coincé,stuck(k?t). The paper is often stuck.
appuyer.On appuie sur le bouton vert.,press. We press the green botton.
éteindre. J'éteins la machine.,switch off. I switched off the machine.
la vitre = la fenêtre,the window
la couvercle,the lid(cái n?p)
le chargeur,the charger
l'interrupteur,the switch
le panneau de commande,the control panel(b?ng di?u khi?n)
la prise,gi?c c?m
la réceptacle,the receptacle(d? d?ng)
la impromante,the printer
lettre de réclamation,letter of claim(thu khi?u n?i)
effecturer = faire,do
réparations. Vous avez effectué des réparations sur ma officier,repair
anomalies. Les mêmes anomalies se reproduisent.,abnormalities(b?t thu?ng)
reproduire,reproduce
En état de marche .Je vous prie de bien vouloir remettre ma imprimante en état de marche dans les plus brefs délais.,in working order.I ask you to kindly restore my printer in working order as soon as possible.
les plus brefs délais.,as soon as possible.
je me tiens à votre disposition pour vous rencontrer et vous exposer mes motivations,I am at your disposal to meet you and explain my motivations
acquérir,to acquire
intégrer.Intégrer un grande entrepris.,Integrate. Integrate a large enterprise.
"le metier, le boulot",job
haut. secrétariat de haut niveau,high. high level secretery
diriger. Pour diriger un esquipe de 10 commerciaux et animer des o pérations de promotion.,lead. To lead a team of 10 salespeople and lead promotional operations.
anglais courant,fluent English
fournisseurs,supplier
chef des achats,purchasing manager
fabricant,manufacturer
Une épreuve,An event
la vie quotidienne,daily life
Un entretien dirigé,a direct interview
raconter,tell
chef de chantier,site manager =  construction manager
recommencer,restart
accueil. Elle a reçu un bon accueil de la part des ouvriers.,welcome. She got a lot of welcome from the workers
L'ouvrier,worker
Un défi,a challenge
factures,bills
matière première,raw materials
la fabrication,the manufature
rejoint. La société a rejoint la groupe Auréa en 1988.,join. The company joined the Auréa group in 1988.
gamme. Nous avons une gamme de 450 produits,range. We have a range of 450 products.
se occupée d'enfants,take care of baby
J'ai l'habitude!,I'm used to it!(already familiar with it)
faire du baby-sitting,do baby-sitting
Je connais bien + N,I know a lot about ...
Je suis libre tous les soirs,I'm free every evening
Je suis disponible le week-end,I'm available on the weekend.
changer les couches et donner un biberons,thay tã và cho bú s?a(cho em bé)
si vous me prévenez quelques jour à l'avance,if you notify me a few days in advance
l'annonce,advertisement
le but de .. Quel est le but de votre voyage ?,the goal of ..What is the purpose of your trip?
l'épreuve,"the ordeal, test(s? th? thách)"
repas d'affaires,business meal
ils m'ont (suggéré) de (reagir) comme sa,they (suggested) me to (react) like him
vous vous (excusez d')être arrive en retard,you (apologize for) being late
entreprises de renom = entreprise réputée,renowned companies
sa lui (permettrait de) perfectionner son anglais.,it would (allow) him to perfect his English.
Elle aimerait (continuer à) (se former),She would like to (continue) (training)
Elle (réussit à) obtenir un poste.,She (succeeds in) getting a job.
Elle n'hésitera (pas à) (tout laisser tomber) pour suivre ses (envies).,She will not (hesitate) to (drop everything) to follow her (desires).
lieu d'implantation de l'usine,location of the factory
la sie`ge social,the head office
un responsable des achats,a purchasing manager
Il dirige les ressources humaines,He leads the human resources
"les confrères, les collègues",colleagues
Vous rencontrez un nouveau (fournisseur),You meet a new (supplier)
convoquez-les jeudi matin,summon them Thursday morning
l'industrie alimentaire,the food industry
une rubrique immobilière,a real estate section
rénové en 2002,renovated in 2002(dc c?i t?o vào nam 2020)
un espace sanitaire,a sanitary area(khu v?c v? sinh)
ç'est notre rituel de la matinée,"this is our morning ritual(nghi th?c, thói quen)"
Les succursales. J'organise une vidéo-conférence avec nos succursales de Francfort et d'Amsterdam.,the branch(chi nhánh)
le mél. Je lis mes méls puis j'organise ma journée avec mon assistante.,email
le devis. les devis de fabrication,quote(báo giá). báo giá s?n xu?t.
la comptabilité,accounting
pause déjeuner,lunch break
dépannages urgents,urgen repair/troubleshooting
le rapport,the report
la enquête,the survey
"planifier, prévoir. nous devons planifier tous les rendez-vous?",plan. we have to plan all the appointments?
le agenda. complétez son agenda avec 2 activités par jour minimum.,"the agenda(th?i gian bi?u, k? ho?ch)"
l'embauche,the hiring
la aptitude. Examiner votre aptitude au poste de travail occupé,the  suitability. Examine your suitability for the busy workplace
