front,back
soupe,soup
haricots,beans
eau,water
oeufs,eggs
pomme de terre,potato
salade,salad
frites,fries(khoai tây chiên)
tomates,tomatoes
viande,meat
jambon,ham
pâtes,pasta
poulet,chicken
porc,pork
dinde,turkey(gà tây)
sauce,sauce
compote,compote(trái cây n?u nu?c du?ng)
crème,cream
crudités,raw vegetables
"cuite(adj,vebre). Ce steak n'est pas assez cuit.",cooked
trop long. Le service est trop long.,very slow
fumé. Il y a trop de fumée.,smoke. There is too much smoke.
forte. La musique est trop forte.,strong
la vin,the wine
dure. La viande est trop dure.,tough
frais. Le poisson n'est pas frais.,fresh
sale. Le verre est sale.,dirty
accompagner.Je prends un verre de vin rouge pour accompagner mon repas.,accompany.I take a glass of red wine to accompany my meal.
repas d'affaires,business meals
léger(agj). Je prends parfois un dessert léger.,light
un sorbet,kem dá
le épice,spice(gia v?)
faire un assortiment.,make an assortment = clasify
Une pêche,fish
covient. Est-ce que cette table vous convient?,suitable
choux-fleur,súp lo
rhum,ru?u rum
une tarte aux pommes,an apple pie(bánh táo)
crevette,shrimp
fricassée de poulet,gà rán
poivrons,pepper(?t chuông)
plusieurs. Il y a plusieurs tailles de pizzas,several. There are several sizes of pizzas
exotique. Une pizza exotique.,exotic
salade royale,royal salad(salad hoàng gia)
farine,flour(b?t m?)
mélanger. Mélanger la farine et les oeufs,mix. Mix the flour and eggs.
verser. verser de l'eau,Pour.pouring water
une poêle,stove(lò nu?ng)
retourner la crepe pour la cuire de l'autre côté,turn the crepe over to cook on the other side
ingrédient,ingredient
façon,"way, method"
dorade,cá dorade
végétarienne,Vegetarian
champignon,mushroom
artichaut,qu? artichaut
maïs,corn(ngô)
avocat,avocado(qu? bo)
chèvre,goat(con dê)
vinaigre,vinegar
radis,c? radish(c? c?i)
tarte,"pie, cake"
"pour maigrir,","for becoming thin, slim"
raisin,grape
livrer. La machine livre une pizza toute chaude.,deliver. Machine delivers hot pizza.
le four,the oven.
pousser. Elle est poussée jusqu'à la sortie.,"push, press. She is pushed to the exit."
chou,cabbage(b?p c?i)
l'ail,garlic(t?i)
aubergine,aubergine(cà tím)
courgette,courgette(bí xanh)
poivre,pepper(h?t tiêu)
poire,Pear(qu? lê)
fraise,strawberry
cerise,qu? cherry
framboise,qu? mâm xôi
Les couverts,"cutlery(1 b? bao g?m dia, dao và dia khi an)"
un melon au porto,1 qu? dua
"frais(s? ít), fraîches(s? nhi?u) (adj)",fresh
cuit(v). Ce sont des poivrons cuits.,cooked(n?u chín)
l'eau minérale,mineral water(nu?c khoáng)
concombre,cucumber
Haricot verts,green beans
e´pinard,spinach
repas habituel,usual meal
habitudes alimentaires,eating habits
Je peux goûter ?,I can taste ?
ils sont moins sucre´s,they are less sweet
j'(ai envie d)'un corceau de gateau au chocolat,I (want) a piece of chocolate cake
ils nous ont invités à diner chez eux demain soir,they invited us to dinner at their home tomorrow night
ce´re´ales,cereals(ngu~ cô´c)
confiture,jam
sucre,sugar
glace à la vanille. On a pris en galace à la vanile.,kem vani
Il est gourmande,sa`nh an
cre`me fraîche,fresh cream
un paquet de café,1 go´i ca` phê
un morceau de fromage,1 miê´ng phô mai
des produits bio,organic products
des cre`mes,creams
un livre de recettes de cuisine,a cookbook
un guide gastronomie,a gastronomy guide(huo´ng dâ~n â?m thu?c)
"ç'est quoi des pommes ""au four"" ?",baked
"un ""sorbet"" a` l'orange pour moi",ice cream
"le chef cuisine des plats a` base ""d'e´pices""","the chef cooks dishes with ""spices"""
les crevettes,the shrimp
a` l'heure du the´,at tea time
l'ananas,pineapple
des produits de la ferme,farm products
souper,"supper, dinner"
délicieux,delicious
préparer un bon plat,prepare a good dish
50g céleri branche,c?n tây nhánh 50g
gousses,pods(v? qu?)
fond de veau,th?t bê
tomates concassées,crushed tomatoes(cà chua nghi?n)
un morceau de gingembre,a piece of ginger(g?ng)
l'agneau. le gigot d'agneau,the lamb. leg of lamb
concentré de tomate,cà chua xay nhuy?n(b?t cà chua)
cannelle. 1/2 cuillère à café du cannelle.,qu?. 1/2 mu?ng cà phê qu?.
poumon. 1 poumon du mouton,lung. sheep lung
panse. 1 panse de mouton,d? dày. d? dày c?u
1 livre de boeuf,1 pound th?t bò
farine d'avoine. 1 tasse de farine d'avoine,y?n m?ch. 1 c?c y?n m?ch
l'apéritif,d? u?ng khai v?
"la laitage. Les fromages, les yaourts sont des laitages.",dairy(s?n ph?m dc làm t? s?a)
la levure,baking powder(b?t n?)
