front,back
le/la + pour parle d'une personne ou d'une chose unique,C'est président de la République
le/la + pour parle d'une personne ou d'une chose,C'est l'Arc de Triomphe des Champs-Eslysées
le/la + pour parler d'une personne ou d'une chose déjà connue(1 ai dó ho?c 1 cái gì dã dc bi?t d?n),C'est le bus 31
le/la + pour parler de quelque chose de général,"le football, le mode, les concerts"
le/la + pour parler des goûts(taste),j'aime les croissants
le/la + avec les noms de pays,"la France, l'Italie, Le Brésil"
Un/une + de quelqu'un ou de quelque chose pas encore connu(from someone or something not yet known),C'est un copain de Fred
un/une + pour quelque chose qui n'est pas unique d'un ensemble(for something that not unique from a set),C'est une chanteuse canadiennes
"À la forme négative(un,une,des -> pas de(d'))","Vous avez une voiture? Non, Je n'ai pas de voiture"
"À la forme négative(le, la, les -> pas le/la/les)","il aime le tennis? => Non, il n'aime pas le tennis"
