front,back
20,vingt
30,trente
40,quarante
50,cinquante
60,soixante
70,soixante dix
80,quatre vingt
90,quatre vingt dix
100,cent
71,soixante et onze
91,quatre vingt onze
101,cent un
22,vingt deux
62,soixante deux
soixante douze,72
82,quatre vingt deux
92,quatre vingt douze
102,cent deux
zéro (zay-ro),0
un,one (uh)
deux,two(duhr)
trois(twa),three
quatre(katr),four
cinq(sank),five
six(sees),six
sept(set),seven
huit(weet),eight
neuf(nurf),nine
dix(dees),10
onze,11
douze,twelve
treize,thirteen
quatorze,fourteen
quinze,fifteen
seize,16
dix sept,17
dix huit,18
dix neuf,19
vingt,20
trois fois trois,3 * 3
trois plus trois,3 + 3
Mille,thousand
un million,one million
un milliard,one billion
chiffres. C'est le code de 5 chiffres qui indique la ville.,ch? s?
