front,back
Il m'a (aidé à) décharger la voiture,He helped me to unload the car
nous (rêvons de) faire de tour du monde,we dream of going around the world
(Essaie de) faire tes devoirs tout seul,Try to do your homework alone
j'ai hésité à le prévenir.,I hesitated to prevent it.
vous n'avez pas arrêté de la journée,you did not stop the day
fais attention à ce que tu fais!,pay attention to what you do!
nous t'encourageons à te présenter au concours.,we encourage you to enter the contest.
Elle ne peut pas s'empêcher de regarder,She can not help but watch
Je serai ravi à vous rencontrer.,I will be delighted to meet you.
ils ont perdu tu temps à l'attendre au mauvais endroit.,they lost time waiting in the wrong place.
vous l'avez forcé à finir son assiette,you forced him to finish his plate
Elle m'aide à faire ma valise,She helps me pack my bags
Ils ont décidé de se séparer,They decided to separate
je vous suggère de prendre le plat du jour,I suggest you take the dish of the day
nous avons besoin de temps pour y réfléchir,we need time to think about it
tu t'es habitué à ton nouveau poste de travail ?,you got used to your new workstation?
Philippe songe à quitter sa femme,Philippe is thinking of leaving his wife
les enfants font semblant de ne pas comprendre,the children pretend not to understand
vous l'avez encouragé à faire autre chose,you encouraged him to do something else
Elle réfléchit à possibles conséquences.,She thinks about possible consequences.
Je me souviens de ce moment comme si c'était hier,I remember that moment as if it was yesterday
Tu as eu fort de lui en parler,You had a good time talking to him about it
