front,back
acteur/actrice,actor/actress
architecte,architect
médecin/mexang/,doctor
chanteur/chanteuse,singer
journaliste,journalist
professeur,professor
infirmier/infirmiè re,nurse
instituer/institutrice,giáo viên c?p 1
pharmacien/pharmacienne,pharmacist
ingénieur logiciel,software engineer
vendeur/vendeuse,seller
commercial,commercial
professeur + de + chemie,giáo su hóa
une secretaire,a secretary
une journalist,journalist
un plombier,a plumber
un politicien,a politician
le policier,policeman
la police,ngành công an
un patriot,nhà yêu nu?c
une poete,nhà tho
un dentist,dentist
Inventeur,Inventor
le rédacteur,writer
traducteur/traductrice,Translator
le voleur,thief
ingénieur en mécanique,k? su co khí
couturière,th? may
enseignant,teacher
l'esthéticienne,chuyên gia v? cham sóc s?c d?p
l'opticien,bác s? khoa m?t
le dentiste,dentist
le coiffeur/la coifeuse,th? làm tóc
réalisateur/réalisateuse,director
boulanger,baker
restaurateur/restaurateuse,restaurateur (ch? quán)
le cuisinier,d?u b?p
le historien,historian (nhà s? h?c)
le couturier,dressmaker
le écrivain,writer
réceptionniste,receptionist(l? tân)
collégien(n),h?c sinh(c?p  2)
éditeur,editor
réceptionist,receptionist(l? tân)
fleuriste,florist(ngu?i bán hoa)
un maçon,builder(th? xây)
hôtesse de l'aire,"hostess,stewardess(ti?p viên hàng không)"
un couturier,fashion designer
un médecin expatrié,expatriate doctor(bác s? nu?c ngoài)
un sportif,an athlete
Un collègue de travail,A colleague
