front,back
"Je me ""lave""",I'm washing myself
"Je me ""douche""",I take a shower
Je me lève,I'm getting up
je m'habille,I'm dressing up
je me couche,I go to bed
je me brosse les dents,I brush my teeth
je me peigne,tôi ch?i tóc
je me promène,I walk
Je me rase,I shave
je me réveille,I wake up
je me maquille,i make up
je me parfume,I perfume myself
je me dépêche,I hurry
je me fâche,I am getting angry
je m'appelle,My name is
ils se aiment,they love each other
tu ta prépares,you're preparing
elle se repose,she is resting
ils se parlent,they are talking to each other
je m'occupe d'un projet intéressant,I'm busy with an interesting project
nous nous détestons,we hate each other
tu te habilles >< déshabilles,you dress><undress
je me demande pourquoi il ne téléphone pas,I wonder why he does not phone
je me souviens de ces vacances,I remember those holidays
nous nous occupons de nos parents,we take care of our parents
se arrêter. Elle s'est arrêtée de jouer en me voyant,to stop. She stopped playing when she saw me
Se débarrasser(Je me débarrasser d'une vieille voiture),t?ng kh?
se connaissent. Ils ne se connaissent pas,know each other. They don't know each other.
je me prépare d'abord,I'm getting ready first
"s'asseoir. Il n'y a pas de ""sièges"" pour ""s'asseoir""","sit. There are no ""seats"" to ""sit"""
se souvenir,remember
s'enfuit. Ex : Le loup s'enfuit,run away. Ex : The wolf is running away
se blesser,to hurt oneself
se trouver. Gusta est trouve loin d'ici,to be located. Gusta is far from here.
se taire,to be quiet
tu t'inquiètes pour ton examen,you are worried for your exam.
nous nous posons des questions.,we ask ourselves questions.
s'envoler.  L'oiseau ne se pas envolé,fly away.
se dépêcher. Devons-nous nous dépêcher?,hurry up. Should we hurry
se masser. se masser avec une crè me,mát xa
se resouvenir,remember again
se cogner,"to hit,pump into"
s'endormir,chìm vào gi?c ng?
se présenter,present one'self
s'entraîner. vous vous s'entrainez beaucoup avec votre équipe de rugby?,train.
s'investir. Je 'occupe aussi d'une association : Je m'investis beaucoup,get involved
s'installer. Pourquoi vous vous installez en Afrique?,settle in(d?nh cu)
s'intéresser. Nous nous s'interessons aux maladies tropicals,to be interested in
se sécher,dry off
s' infiltrer. tu t'infiltre dans les hôtels.,d?t nh?p.
se dérouler. Si mon plan se déroule sans encombre ..,take place. If my plan goes smoothly ...
se déplacer. il se déplace à/en 8h30 pour aller au bureau.,move
se coiffer,ch?i tóc
se revoir. Je et lui se revoyons àpres 2 ans.,see each other again
se munir. se munir des pièces suivantes : ...,bring.
s'impose. une visite médicale s'impose également à la reprise après un absence d'au moins 30 jours.,impose(áp d?t). a medical visit is also required upon resumption after an absence of at least 30 days.
