front,back
Tu manques à tes enfants,your children miss you
"Il manque un ""couteau""",A knife is missing
c'est la mère du héros,it's the mother of the hero
Mon copain est roux,My boyfriend is redheaded
The lion is among the crowd,Le lion est parmi la foule
Ma fille veut une horloge,My daughter wants a clock
J'ai une assiette,I have a plate
The black clocks are not working,Les horloges noires ne marchent pas
The engineers have white desks,Les ingénieurs ont des bureaux blanc
Du poivre,Pepper
Le portefeuille est noir,The wallet is black
C'est une reine intéressante,She is an interesting queen
There is a huge hole in the work zone.,Il y a un énorme trou dans la zone des travaux.
Le garçon améliore sa lettre.,The boy is improving his letter.
My book is about a horse,Mon livre concerne un cheval
We are lying,Nous mentons
He greets(chào dón) his family.,Il reçoit sa famille
The boy is appealing to girls,Le garçon plaît aux filles
We walk and you run,Nous marchons et vous courez
Elle propose du thé,She offers some tea
He is cutting an orange,Il coupe une orange
They are carrying bread,Ils portent du pain
Le singe mérite une banane,The monkey deserves a banana
hiding place,cache
He is losing his pants,Il perd son pantalon
They follow the horse,ils suivant le cheval
"powder(b?t, thu?c súng)",poudre
Drapeau,flag
Powdered milk(s?a b?t),Le lait en poudre
Il reste une pomme,There remains an apple
Il semblent gros,They seem big
Today is Wednesday,Aujourd'hui nous sommes mercredi
Le loup,The wolf
La feuille,Leaf
tomber,fall
Un feuille tombe,A leaf is falling
driver,chauffeur
He knows his craft(ngh?),Il connait son métier
"La machine, telle une immense araignée, s'approcha de moi.","The machine, like a huge spider, approached me."
C'est une reine idéale,She is an ideal queen.
We do not talk of such men,Nous ne parlons pas de tels hommes
Le coin,The coin
fake,faux
The coin is fake,le coin est faux
"I have ""all my time/plenty of time""",J'ai tout mon temps
I throw a brick through the window,Je jette une brique par la fenêtre
Leur garçon est fort,Their boy is strong
You are showing your clothes,Vous montrez vos vêtements
il faut prendre le premier escalier,it is necessary to take the first staircase
"Je lis, malgré la nuit",I am reading in spite of the night
La chemise est sous le pantalon,The shirt is under the pants
Les enfants aiment les jeux,Children like games
Elle a quinze bijoux,She has fifteen jewels
I am eating pieces of cakes,Je mange des morceaux de gâteau
She has zero pockets,Elle a zéro poche
brown,marron
I need twelve small books,il me faut douze
Ce sont ceux de mes enfants,These are my children's
The one we possess is blue,Celle que nous possédons est bleue
J'aime votre montre,I like your watch
Nous parlons de notre jeunesse,We are talking about our youth
Ma chaise a un dossier,My chair has a back
present,cadeau
dark,brune
Je suis prudent,I am careful
Le bord,The edge
Sa femme attend un enfant,His wife is expecting a child
dry,sec
il est mort,He died
devenir,become
Je coupe le chauffage,I turn off the heating
Il cache le jouet,He hides the toy
nettoyer(verb),clean
l'avocat,the lawer
l'avocat appartient au personnel,the lawyer belongs to the staff
wise,sages
Le lion est un animal sauvage,The lion is a wild animal
il m'écrit chaque semaine,She writes me every week
la recette,the recipe
Sa recette est secrète,His recipe is secret
le île,island
la campagne,The countryside
Demain nous allons au tribunal!,Tomorrow we go to court(tòa án)!
dieu,god
Je crois ce qu'elles disaient,I believe what they were saying
Tu avais le temps pour le faire,You had the time to do it
croire,believe
J'écoute sauf quand il parle,I listen except when he speaks
some people,du monde
neighbor,voisin
La population est vieille,The population is old
