front,back
la montagne,mountain
chanter,sing
danser,danse
lire,read
corrigez le erreurs,correct the errors
promener vs marcher,promener : di và nhìn ng?m xung quanh
on est en retard,We are late
on a faim et soif,we are hungry and thirsty
dicter,dictate(ra l?nh)
devenir. Léna est devenue rapidement un bébé calme,become
perdre. Le petit visage de ma Léna avait perdu ses rondeurs,lost. The little face of my Lena had lost its curves
barrer,"block, remove"
porter les pots à bout de bras du magasin à la maison,carry the pots at arm's length from the store to the house
diposer. Diposer du papier journal sur le carrelage,dispose. Put some newspaper on the tiles
protéger. Protéger le bord des fênetres,protect. Protect the edge of the windows
enfiler. Enfiler de vieux vêtements,put on. Put on old clothes
prêter. Elle était prête,ready. She was ready
debout là-dedans !,standing in there !
jouer,player
tout le monde,everybody
même. Ils habitent dans la même ville,same(adj)
"compagnon. Il n'a pas d'amis et son seul compagnon, c'est son chien.",companion
facile,easy
libre. Elle a un vie très libre.,free. She has a very free life.
rire. Elle adore rire,laugh
tout les sépare mais ...,everything separates them but ...
personnage. Ils sont des personnages de roman,character
la routine,routine
lieu = endroit. un droit préféré,place. A favorite place
insérer,insert
courir. Je doit courir,run
arriver. Il peut arriver à temps.,arrive
bruit,noise
le moine,the monk(nhà su)
je veux => je voudrais,more polite. Nên dùng trong nhà hàng or mua s?m
"la plage,la mer","the beach,the sea"
très fatigué = épvisé,tired
