front,back
Un spectacle,a show
ça t'interesse ?,Are you interested ?
"oui, J'AIME BIEN( avoir passionnée de) sortir","yes, I LOVE going out."
Je N'AIME PAS BEAUCOUP aller au cinéma,I DON'T LIKE MUCH going to the movies
Je DÉTESTE faire la queue devant aller au cinéma.,I HATE queuing up to go to the movies.
Je PRÉFÈRE le thé âtre,I PREFER the theater
J'AI HORREUR DU cirque,I hate the circus(r?p xi?c)
passe-temps,pastime(s? gi?i trí)
aller à le pêche,câu cá
lire des romans policiers,read detective novels(truy?n trinh thám)
la poésie,the poetry
