front,back
"a, à.Ex : papa, madame, la table, à bientôt",a(m? mi?ng)
"e.Ex : madame, la classe, je",o
"é, er, ez. Ex : le café, fatigué",ê
"è, ê, ë, ai, ei, est, es.Ex : très, être, Noël, la maison, seize, il est, tu es",e
"eu. Ex : deux, bleu, l'Europe",o(but stronger and longer)
"i, y. Ex : Paris, le livre, Myriam",i
"o, au, eau. Ex : au revoir, le mot, l'eau",ô
"u, û. Ex : bien sûr, le menu, le numéro",u(your tongue touch to the below teeth)
"ou, où. Ex : bonjour, oui, le Louvre","u(your tongue is floating, not toch anything)"
"oi. Ex : moi, toi, pourquoi",oa
"oin. Ex : C'est loin, moins, le coin",oang
"on, om. Ex : garçon, mon, conduit, bombier, pompier, comprendre","on : ông. When the letters ""om"" followed by the letter ""b"" or ""p"", then ""om"" makes sound like ""on"".Otherwise, ""o"" and ""m"" are pronounced separately."
"en, an, em, am. Ex : l'enfant, en France, la lampe, le temps","en, an: oong. When the letters ""em, am"" followed by the letter ""b"" or ""p"", then ""em,am"" makes sound like ""en"". If ""ent"" is the ending of a verb, we do not sound."
"un, um, in, im, ain, aim, ein. Ex : le vin, important, demain, la faim, le lundi, humble, la peinture","when we pronounced ""un""(d?c là ""a""), at the final your mouth smile (on the direction of your ears) when we pronounced ""um""(d?c là am)your uper leaps goes up and the lower one down)"
"ien. Ex : le chien, bien, indien.",iêng(d?c nhanh)
"Consone finale : ne se prononce pas en général(except : r,f,l). Consone finale + ""e"" : se prononce toujours mais le ""e"" ne se prononce pas","Ex : Grand(""d"" không phát âm), grande(""e"" không phát âm)"
"Consone finale prononcer. Ex : aveC, un saC. amouR, partiR(exept for words ending by ""er""or d?ng t?(ch? phát âm là ""ê""). NeuF, cheF. avriL, un fiL","c,r,f,l(phát âm), a,e, u(không phát âm)"
"g. (1)Ex : girafe, gymnastique. (2) gare, gouvernement, garage","ga, go, gu. “g” s? d?c là “g?”"
"c. (1)Ex : carotte. (2)Ex : cité, ciseaux","ca, co, cu d?c là “c?”"
gn. Ex : peigne(ch?i),nh?.
ch. Ex: choisir,s?.
ll,"2 ch? l c?nh nhau d?c là ""z?"". TH ngo?i l? (la fille, la ville) d?c là ""l?"""
âm e d?ng cu?i. Ex : cusine,"m?i âm e d?ng cu?i d?u d?c là ""o"", s? có 1 s? d?a phuong b? âm ""e"" khi phát âm n?u nó d?ng cu?i"
n?u s d?ng cu?i d?ng t? thì ko phát âm. N?u es d?ng cu?i d?ng t? thì ko phát âm s nhung phát âm e,"1.vous faits, vous êtes."
n?u s d?ng cu?i danh t? thì v?n phát âm,"le bus, les fils"
em(fr),am
gn(fr),nh?
