front,back
périmètre. PÉRIMÈTRE DU PROJET,scope
APPROCHE. DEEPREXT : NOTRE APPROCHE,approach
mises en œuvre. TECHNOLOGIES MISES EN OEUVRE,implemented. Technology implemented.
résultat. nos resultats,result. our results
etape. LES PROCHAINES ÉTAPES,step. THE NEXT STEPS
Diminuer. Elle a diminué ses dépenses.,Decrease. She decreased her expenses.
consacré à. Diminuer considérablement le temps consacré à la lecture d'une documentation textuelle.,"devoted to, dedicated to, spent. Significantly reduce the time spent reading textual documentation."
prenantes. Accompagner les parties prenantes pour la conception et le design de la solution,stakeholders. Support stakeholders for the conception and design of the solution.
la exigence. Minimiser les erreurs humaines lors de l'extraction des exigences.,the requirement. Minimize human errors when extracting requirements.
Fournir. Fournir un accès facile aux exigences d'un projet donné à toutes les parties prenantes.,provide. Provide easy access to the requirements of a given project to all stakeholders.
livraison. Un délai de livraison de 15 jours.,delivery. A delivery time of 15 days.
Réalisation,realization. hien thuc hoa
traiter(v). Nombre de paramètres traité par l’extracteur.,process.Number of parameters processed by the extractor.
répandue(adj). Approche largement répandue parmi les grands acteurs du nucléaire.,widespread. Widely used among major nuclear players.
Technologie responsive,Responsive technology(công ngh? dáp ?ng)
innovant(adj). Concept innovant avec possibilités de réutilisation,innovate. Innovative concept with possibilities of reuse.
Champ. Champ sémantique considérable (équipements et systèmes différents),field. Considerable semantic field (different equipment and systems).
Données d’entraînement,Training data
référentiel. Référentiel d'exigences 1,referencial. Requirements reference 1
à la main. La première version du modèle entraînée sur un ensemble des exigences extraites à la main.,manually. The first version of the model trained on a set of requirements extracted manually.
"sortir. Les versions suivantes du modèle sont entraînées sur les prédictions validées, sorties par le même modèle.","release. The following versions of the model are trained on validated predictions, released by the same model."
améliorer. Le processus de l’ajustement du modèle est continu et va de plus en plus améliorer sa précision.,improve. The process of fitting the model is continuous and will increasingly improve its accuracy.
Parseur,Parser(phân tích cú pháp).
désambiguïsation. Désambiguïsation des exigences.,disambiguation(d?nh hu?ng). Ð?nh hu?ng yêu c?u.
