front,back
8 heures 15,8 heures et quart
8 heures 30,8 heures et demie
8 heures 35,9 heures moins 25
8 heures 45,9 heures moins le quart
12 heures,midi
00 heures,minuit
at .. which time,À 6 heures et quart
from ... to,De 8 heures à 9 heures
in the ...(morning),dans le matinée
between ... and ...,Entre 8 heures et 8 heures et demie
when + something happen,Quand Ils sont partis
around,vers. Ex : vers 9 heures et quart
Tard . Je me couche tard,late
after + noun,après le travail
tous les jours. Je me réveille tous les jours à 6 heures et quarr,everyday
habituellement. J’y suis habituellement vers 9 heures et quart,"often, habitually"
avoir l’habitude de. J’ai l’habitude de prendre un café,usually
je me repose le week-end,i rest on the weekend
un fois par semaine,one time per week
rarement,rarely
