front,back
"vers. Oui, toujours vers 8 heures","around. Yes, always around 8 o'clock"
avant. Vous prenez votre petit déjeuner avant ou après votre toillet?,before. Do you have breakfast before or after your toillet?
après,after
à temps. Il peut arriver à temps,on time
auprès de,"close, near to"
à partir de. Ex : à partir de Mardi,from. Ex : From Tuesday
si,if
suivant,following
de .. à(cách nói th?i gian). Ex : de 15h à 17h,from..to
entre .. et ..Ex : entre 10h et 12h,between ... and
durer,last
prochain,next
"Lors(Lors de votre régelement, veuillez rappeler votre numéro d'allocataire et la référence créance IN5001)",During(During your payment)
Procédure générale pouvant être soumise à des aménagements SUIVANT les établissements d'accueil,General procedure that may be subject to accommodation DEPENDING ON the host institutions
comme neuf. Ex :D'occasion état comme neuf et débloqué pour seulement 19e,as new.Ex :Used condition like new and unlocked for only 19th
dure,lasts
délai + entre ... et ...,delay between ... and ...
"à ce moment-là. à ce moment-là, j'e´tais stagiaire","at the moment. At the moment, I'm an intern"
puis,"then, after"
la premier fois,the first time
"Je t'ai attendu ""pendant"" une demi heure",for
durant . Ex : Il a creusé durant trois heures,during. He dug for three hours.
ce temps-la. Nous allons faire le ménage pendant ce temps-là,this time. We will do the cleaning during this time
"lorsque. lorsque se présente une occasion, vous dérobez des bijous.","When. when an opportunity come, you steal the jewelries."
au bord de. On s'est promené au bord de la rivière.,along. We walked along the river
