front,back
"coûter les yeux de la tête. Ex : Cela va coûter les yeux de la tête, et cela sera beau","really high value. It will cost a fortune, and it will be beautiful"
se trouver nez à nez avec qu'une,face to face with someone
se lever du pied gauche. Ex : Il a dû se lever du pied gauche.,have a bad day. Ex : It's his day for being difficult.
en avoir plein le dos. Ex : Je commence à en avoir plein le dos.,"being sick, annoyed of doing something, can't take anymore. Ex : I won't put up with it any more."
avoir un poil dans la matin,être paresseux (being lazy)
se mettre dans la peau de quelqu'un,Put yourself in someone's shoes(To imagine oneself in the situation or circumstances of another person
se mettre de doight dans l'oeil,put your finger in your eyes(talk about the mistake)
se mettre en quatre,go out of their way
en mettre plein la vue,put in full view(to someone)
En mettre sa main à couper,put his hand to cut = swear
mettre les bouchées doubles,great efforts
mettre la clef sous la porte,to be bankrupt
mettre l'accent sur quelque chose,"insist, focus on"
