front,back
un verre de lait,1 ly su~a
une tasse de café,1 ta´ch ca` phê
une bouteille de l'eau,1 chai nuo´c
un pot de confiture,1 lo? mu´t
un paquet de riz,1 go´i ga?o
une boîte de thon,1 hô?p ca´ ngu`
un tube de dentifrice,1 tuy´p kem da´nh rang
un flacon de parfum,1 chai nuo´c hoa
une sac de pommes,1 tu´i ta´o
un tranche de jambon,1 la´t jambon
une morceau de fromage,1 miê´ng phomai
un part de tarte,1 miê´ng ba´nh
une tablette de chocolat,1 thanh socola
une plaquette de beurre,1 di~a bo
un botte d'asperges,1 bo´ mang tây
un douzaine d'oeufs,1 ta´ tru´ng
une livre de fraises,nu?a la?ng dâu tây
une litre d'huile,1 li´t dâ`u an
un pincée de sel,1 nhu´m muô´i
une cannette de bière,1 lon bia
