front,back
beau- frère,brother in law(anh r?)
beau-fère,Stepfather
belle-mère,stepmother
belle-sœur,sister-in-law
la cousine,cousin
la femme,wife
la fille,daughter
le fils,boys
le frère,brother
la grand - mère,grandmother
le grand - père,grandfather
le mari,husband
mère,mother
le neveu,nephew(cháu trai)
la nièce,niece(cháu gái)
le oncle,uncle
le père,father
la petite - fille,little girl
le petite -fils,little boy
la soeur,sister
la tante,aunt
grand frère,anh zai
petit frère,em zai
beau-fils,son-in-law(con r?)
aîné/aînée(Elle est l’aînée des trois enfants),con c?
cadet/cadette(Sa sœur cadette),con gi?a
benjamin/benjamine(Claudia est la benjamine de la famille),con út
