front,back
pourquoi pas ?,why not ?
pas mal,not bad
Elle n'est plus mon amie,She is no longer my friend
Aucun animal ne boit,No animal is drinking
Aucun enfant ne mange,No child is eating
Je ne peux plus rien boire,I can no longer drink anything
Je ne voyais personne,I saw no one
ne sais plus,do not know anymore
Est-ce  que vous e´tudiez encore a` Escole Polytechnique?,Are you still study in Ecole PolyTechnique?
"Non, on n'y e´tudie plus","No, we do not study anymore"
tu as déjà vu ce film ?,Have you watch this movie ?
Je ne l'ai pas encore vu,I didn't watch it yet
"Moi, je ne l'ai rien entendu",I did not hear anything
Il n'est jamais en retard,He's never late
"oh, c'est ne rien","oh, it's nothing"
il ne marche pas encore,it does not work yet
car personne/aucun ne vient a` mon anniversaire,because nobody comes to my birthday
je ne vois rien,I see nothing
tu vois quelque chose?,do you see something?
non rien du tout,no nothing at all
