front,back
La banque,bank
La boucherie,butchery(c?a hàng bán th?t)
Le cinema,cinema
l'eglise(la),the church
l' hopital,hospital
la librairie,book store
l'opticien,c?a hàng bán kính deo m?t
quincaillerie,hardware store
le theatre,theater
la bibliotheque,library
la boulangerie,bakery(ti?m bánh)
le coiffeur,ti?m c?t tóc
l'épicerie,grocery store(ti?m t?p hóa)
l'hotel,hotel
la mairie,town hall(tòa th? chính)
la pharmacie,pharmacy
le supermarche,supermarket
l'usine,factory
la bijouterie,ti?m bán trang s?c
la boutique,shop
l'ecole,school
la gare,train station
le kiosque,ki-?t(qu?y bán hàng nh?)
le primeur,d?i lý bán rau c?
plombier,plumber
la terrasse,terrace(sân thu?ng)
le fleuriste,c?a hàng bán hoa
la laverie,the laundery
le bureau de tabac,ti?m bán thu?c lá
la parfumerie,perfume shop
la poissonnerie,fish shop(ti?m bán h?i s?n)
le marchand de journaux,ti?m bán báo
la fromagerie,ti?m bán phô mai
la caviste,c?a hàng bán ru?u
la  pâtisserie,c?a hàng bánh
la papeterie,stationery (van phòng ph?m)
laver,wash
sécher son linge,dry his clothes
acheter des crayons,buy pencils
acheter des produits courants d'alimentation et d'hygiène,buy standard food and hygiene products
des fruits de mer,seafood (h?i s?n)
des bijoux,d? trang s?c
colliers,necklaces (dây chuy?n)
bracelets,bracelets (vòng deo tay)
le bistrot,quán ru?u
