front,back
le souris,mouse
voler,fly
piqûre(vebre),"c?n,chích"
champ,"field, d?m"
il a des poils/plume,he has hairs / feather
il a des ailes,he has wings
papillon,butterfly
lapin,con th?
un hamster,chu?t d?ng
"Il a combien de ""patte""?",nó có bao nhiêu chân?
un chauve-souris,a bat(con doi)
un ours,bear
un cheval,horse
herbe,grass(c?)
un dauphin,dauphin
loup,sói
le coq,the rooster(gà tr?ng)
le chameau,l?c dà
un tigre,tiger
la montagne,the mountain
animaux domestique,d?ng v?t trong nhà
animaux souvages,d?ng v?t hoang dã
serpent,snake
corne,s?ng
Il a de poisson,Nó có d?c
Il mesure combien?,Kích thu?c nó bao nhiêu ?
requin,cá m?p
une vache,cow
paddy,thóc
girage,giraffe
feuille,leaf
singe,monkey
pandas,pandas
abeille,con ong
les escargot,snail
