front,back
le thème,The theme
Ell pose un question,She asks a question
"Cette question ""n'a rien à voir"" avec vous","This issue ""has noting to do"" with you"
"Il ajoute des ""mots""",He is adding words
"C'est un ""desbat"" entre son oncle et sa tante",It is a debate betwwen his uncle and his ant.
"Je ""pèse"" mes mots",I weigh my words(idiom : To choose what one says carefully)
"il vous a donné des ""renseignments""","He gave you some ""information"""
Le débat est ouvert,The debate is open
jeu,game
mots,words
"Elle est dans les ""médias""",She is in the media
"Voici une ""traduction"" en français","Here is a ""translation"" in French"
"Le ""titre"" est gros",The title is big
L'entretien s'est bien passé,The interview went well
"Elle ne veut pas ""embrasser"" son petit-fils","She does not want to ""kiss"" her grand-son"
la feuille,the sheet
"Je dois ""imprimer"" sur une feuille blanche",I have to print on a white sheet
"Je ne peux pas ""crier""","I can not ""shout"""
