front,back
Le dépôt de plainte. Il y a dépôt de plainte par les parents auprès de la Police ou de la Gendarmerie,don khi?u n?i
un procès pénal.,a criminal trial(xét s? hình s?)
le réparation. La victime est alors informée de peut demander resparation dans un procès pénal d'un préjudice civil.,s? b?i thu?ng.N?n nhân sau dó du?c thông báo v? kh? nang yêu c?u b?i thu?ng trong phiên tòa hình s? v? thi?t h?i dân s?.
préjudice. La victime est alors informée de peut demander resparation dans un procès pénal d'un préjudice civil.,s? thi?t h?i. N?n nhân sau dó du?c thông báo v? kh? nang yêu c?u b?i thu?ng trong phiên tòa hình s? v? thi?t h?i dân s?.
constitution. il y a constitution de partie civile,hi?n pháp. có hi?n pháp c?a d?ng dân s?
partie civile,d?ng dân s?
à l'encontre. la multiplication des actions en responsabilite pénale à l'encontre des enseignants est un effet pervers de la Loi de 1937,against. the multiplication of criminal liability actions against teachers is a perverse effect of the 1937 Law
dissuasif. la procédure trop dissuasive pour les parents.,mang tính ran de
borner(v). Un loi est votée pour borner l'application de l'article 221,limit. a law is passed to limit the application of article 221
un faute caractérisée,l?i d?c trung
le signalement,the report
constater. l'obligation de signalement par l'enseignant des services constater sur les élèves,note. the obligation to report by the teacher of the services noted on the students.
privation de nourriture,starvation
une dénonciation,don t? cáo
le délit. le délit est flagrant et reconnu,the offense(t?i ác). hành vi ph?m t?i là tr?ng tr?n và recognized
mener(v). Il n'y a pas d'enquête à mener.,carry on. There is no investigation to be carried out
"tarder(v).Dans tous les cas, il ne faut pas tarder.","delay. In any case, don't delay."
la responsabilité pénale,trách nhi?m hình s?
manquement à la securite,vi ph?m an ninh
une complice,an accomplice(d?ng ph?m)
"voleur, vols(s? nhi?u)",thief
"témoigne(v,n). Il vous demande votre témoigne","khai báo, làm ch?ng. He asks you for your testimony(anh ta h?i b?n v? l?i khai c?a b?n)"
règle. La ponctualité est de règle,rule. Punctuality is the rule
la rigueur. la même rigueur est demandée.,the rigor(s? nghiêm ng?t). the same rigor is required.
atteinte. atteinte à la dignité de la personne.,attack. attack on the dignity of the person.
la dommage. Ces mensonges lui ont causé un dommage irréparable,the damage. These lies caused him irreparable damage.
