front,back
Le visage,face
les yeux,eyes
un oeil,eye
les cheveux,the hair
châtain(cheveux),light brown
blonds(cheveux),blond
bruns(cheveux),brown
roux(cheveux),d?
"Elle a les cheveux longs et ""frisés""","She has long,""curly"" hair"
raides(cheveux),tóc th?ng
longs(cheveux),tóc dài
courts(cheveux),tóc d?u cua
un barbe,bear(râu)
une moustache,ria mép
"Il est ""chauve""",Anh ?y b? tr?c
le nez,nose
la bouche,mouth
les oreilles,ears
le front,trán
le cou,c?
la nuque,gáy
les jous,má
les bras,the arm(cánh tay)
le main,bàn tay
les jampes,leg
les pieds,foot
les doights,finger
les orteils,toe
le tronc,ph?n thân(t? c? d?n th?t lung)
roux -> rousse,masculine -> feminin
des boucles d'oreilles,khuyên tai
chaussures,shoe
Il est petit et gross,He is short and fat
Il a un gros ventre,"He has a big ""belly"""
"Il a un ""pull"" noir",Anh ?y có áo len den
Rule,tính t? ch? màu s?c luôn d?ng sau danh t?
Il se tient très droit,He stands very straight
Je suis de taille moyenne,Tôi có chi?u cao trung bình
J'ai les cheveux(1) courts(2) raides(3) noirs(4),I have short(2) straight(3) black(4) hair(1)
J'ai des lunettes,I have glasses
"il porte un chemise noire, un patalon, bleu marine, des chaussures grrises","he is wearing a black shirt, navy blue trousers, gray shoes"
un nez pointu,an pointy nose(mui nh?n)
un nez tombant,a falling nose(mui qu?m xu?ng du?i)
un nez trompette,mui v?nh
la jampe,foot
le genou,knee(d?u g?i)
"les doights de pied, les orteils",ngón chân
le ventre,stomach
la paume,lòng bàn tay
l'épaule,shoulder
le poignet,wrist(c? tay)
la lèvre,lip
les dents,the teeth
la langue,tongue
le dos,the back
la tête,the head
le coude,khu?u tay
je avoir à + le corp,dau ? dâu(ex : j'ai mal aux oreilles)
"C?u trúc : pour do something, J' utilise something","pour manger, j'utilise la bouche"
la gorge,throat
les cils,the eyelashes(lông mi)
les sourcils,eyebrows(lông mày)
la peau,skin
les poils,fur(lông)
les ongles,nails
la grippe,b?nh c?m cúm
la maladie,disease
la sinusite,b?nh viêm xoang
respirer,breathe
"tousser, éternuer","cough, sneeze(ho, h?t hoi)"
avoir de la fière/de la temp,b? s?t
le nez coule,"s?t sùi, ch?y nu?c mui"
Hung voit mal,Hung looks badly
avoir de la fièvre. Hung a de la fièvre,have a fever. Hung has a fever
avoir mal au dos,has a back pain
Il a mal à l'estomac,He has a stomachache
il a mal à l'épaule,he has shoulder pain
se cassé. la femme š'est cassé la cheville,break. the woman broke her ankle
il a mal aux jambes,his legs hurt
pastilles. sucer six pastilles pas jour,viên ng?m. sucer six pastilles pas jour
cuillère à café. prendre une cuillère à café de sirop avant les repas,teaspoon. u?ng m?t mu?ng cà phê xi-rô tru?c b?a an
croquer. croquer deux comprimés après de repas,chew. chew two tablets after meal
un comprimé,viên thu?c
mettre une bande,"d?t 1 cu?n bang(bó tay, chân)"
anti-inflammatoire. Prendre un anti-inflammatoire,ch?ng viêm. U?ng 1 viên thu?c ch?ng viêm
prendre un sirop une fois par jour,u?ng siro 1 l?n/ngày
la cheville. il se tord la cheville,ankle(m?t cá chân)
avoir une fracture de la jampe = se caser la jambe. Il a une fracture de la jambe,gãy xuong(chân). He has a broken leg
"avoir la jambe dans le plâtre >< enlever le plâtre, le bandage. J'ai la jambe dans le plâtre pour quatre semaines.",bó b?t >< tháo b?t
se tordre de la cheville = avoir une entorse . Il se tord la cheville,bong gân
se cogner contre quelque chose,va vào 1 cái gì dó
faire de la rééducation,ph?c h?i ch?c nang
avaler(v),swallow
ausculter(v). Je vais une ausculter,examine. I'm going to examine
angine(n). Vous avez une angine.,dau th?t ng?c. B?n b? dau th?t ng?c.
otite(n). vous n'avez pas d'otite.,viêm tai
ordonnance(n). Voici votre ordonnance,"don,toa (thu?c)"
le corps,the body
rédaction dossier médicaux,writing medical records(khai báo b?nh án)
santé,health
lentilles correctrices,kính áp tròng
le cou,neck
le menton,chin(c?m)
le torse = la poitrine,ng?c
les fesses,buttocks(mông)
le talon,heel(gót chân)
vomir,vomit
vous êtes en décalage horaire,you are in jet lag
des cachets d'antalgique,painkiller tablets(thu?c gi?m dau)
des pansements,bang bó(n)
somnifère,sleeping pill(thu?c ng?)
l'alcool,c?n
enceinte(adj). Elle est enceinte il y a quelques mois.,pregnant. She was pregnant a few months ago.
