front,back
Le téléphone est à qui ?,Chi?c di?n tho?i này là c?a ai
l'autre,the other
vérifier(vérifier un fait),verify
jeune >< vieux/vieille,tr? >< già
croisière,cruise
découverte,discovery
plaisir,pleasure
vedette(étoile),star
génération,generation
Boission APÉRITIF,Th?c u?ng KHAI V?
crepe,bánh crepe
caisse,cashier
prépayer,prepay(tr? tru?c)
principale,primary
mettre,put
risquer,risk
pincer(tu risques de te faire pincer très fort),k?p(you risk being pinched very hard)
partir,depart(kh?i hành)
inclus,included
station(La station est fermée du vendredi 9 Septembre à partir de 22h au dimanche 11 septembre inclus),station
parle(bavarde) (v),"ba hoa, hay nói chuy?n"
parce que,because
nécessaire,necessary
le devoirs,homework
l'invité,the guest
la limite,limit
Que pensez-vous des Fransais? ou Qu'est ce que vous pensez des Fransais?,What do you think about French people?
indiquer,indicate
donner,give
issue,conclusion
choix,choice
coûter,cost
"un sportif, une sportive",an athlete
Il se trouve òu?,Where is it?
remplir,fulfill
procéder,proceed
octroi(n),granting
varier,vary
contacter,contact
"manquante(adj). Ex : En cas de pro blème dans votre dossier, comme un pièce manquante...","missing. Ex : If there is a problem in your file, such as a missing piece ..."
Nom de jeune fille,tên th?i con gái
vieillir. Ex : Je vieillis,getting old
Tu as raison,you are right
